"soil_name","horizon","mg_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_m2","total_mg_horizon"
"caddo","40_100",0.0117675,1.7075,0.0713559154286921,4,18.26875,63.74375,17.9875,0.3125,2.00302156054687e-06,0.00012
"cahaba","0_10",0.7309,1.4,0.0556776436283002,3,51.35,34.175,14.4666666666667,NA,0.000102326,0.00102
"cahaba","10_20",0.313657142857143,1.37,0.210069553241103,1,51.3,31.5,17.2,NA,4.29710285714286e-05,0.00043
"cahaba","20_40",0.3276,1.47333333333333,0.0757187779440037,3,47.9466666666667,32.9,19.14,NA,4.82663999999999e-05,0.00097
"cahaba","40_100",0.24369696969697,1.526,0.0439317652729776,5,46.1545454545455,28.3606060606061,25.469696969697,NA,3.71881575757576e-05,0.00223
"carnasaw","0_10",0.01944,1.5,0.325269119345812,2,27.6,61.4,10.975,8.25,2.67543e-06,3e-05
"carnasaw","10_20",0.01308,1.59,0.0565685424949237,2,29.775,56.975,14.3,9.75,1.8769473e-06,2e-05
"carnasaw","20_40",0.03448,1.43333333333333,0.155349069303081,3,11.4333333333333,36.4666666666667,52.0666666666667,4.66666666666667,4.71150044444443e-06,9e-05
"carnasaw","40_100",0.0473261538461539,1.55142857142857,0.110064915910047,7,15.6923076923077,33.7153846153846,51.8769230769231,5.61538461538461,6.93001551377853e-06,0.00042
"cartecay","0_10",NA,1.3509262485482,0.246635757280942,NA,53.1,26,20.9,NA,NA,NA
"cartecay","10_20",NA,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,NA,NA
"cartecay","20_40",NA,1.50104635443921,0.215883238671701,NA,71.2,16.3,12.5,NA,NA,NA
"cartecay","40_100",NA,1.59451747615447,0.19649269329816,NA,69,18.8,12.2,NA,NA,NA
"cashiers","0_10",0.00372,1.3509262485482,0.246635757280942,NA,54.6,25.6,19.8,8,4.62340999303136e-07,0
"cashiers","10_20",0.003,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,4.39523257940495e-07,0
"cashiers","20_40",0.00228,1.04,0.215883238671701,1,59.3,23,17.7,9,2.157792e-07,0
"cashiers","40_100",0.00348,1.31,0.0989949493661166,2,66.4,18.5,15.1,7.5,4.21689e-07,3e-05
"cataula","0_10",1.46,1.39,0.246635757280942,1,66.2,18.5,15.3,4,0.0001948224,0.00195
"cataula","10_20",0.77,1.72,0.210069553241103,1,68,18,14,11,0.0001178716,0.00118
"cataula","20_40",1.25,1.51,0.215883238671701,1,36.7,13.5,49.8,4,0.0001812,0.00362
"cataula","40_100",0.48,1.505,0.120208152801713,2,32.0333333333333,15.6,52.3666666666667,2.66666666666667,7.03136e-05,0.00422
"cecil","0_10",0.80352,1.58571428571429,0.13226956602045,7,58.4710526315789,21.9894736842105,21.9684210526316,6.13157894736842,0.000119602743699248,0.0012
"cecil","10_20",0.369668,1.64666666666667,0.102143689640297,3,53.74,20.095,29.655,5.6,5.74631654826668e-05,0.00057
"cecil","20_40",0.164306086956522,1.59083333333333,0.124568953766275,12,46.504347826087,20.4652173913043,36.6217391304348,5.21739130434783,2.47746194782608e-05,5e-04
"cecil","40_100",0.262009444444444,1.498,0.097689087900015,20,35.9277777777778,21.0986111111111,42.8472222222222,2.30555555555556,3.83441069370679e-05,0.0023
"chandler","0_10",0.00816,1.3509262485482,0.246635757280942,NA,40.35,22.05,29.3,22,8.59837538675959e-07,1e-05
"chandler","10_20",0.00228,1.62,0.210069553241103,1,65,22,13,47,1.957608e-07,0
"chandler","20_40",0.00696,1.50104635443921,0.215883238671701,NA,44.2,18.4,37.4,10,9.40255436420721e-07,2e-05
"chandler","40_100",0.00561,2.07666666666667,0.271538824725551,3,80.75,10.1,9.15,21.75,9.11620325000002e-07,5e-05
"chestnut","0_10",0.066,1.3509262485482,0.246635757280942,NA,34.7,48.6,14.6333333333333,3,8.64862984320558e-06,9e-05
"chestnut","10_20",0.03381,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,4.95342711698938e-06,5e-05
"chestnut","20_40",0.00162,1.13,0.215883238671701,1,42.05,37.05,20.9,10,1.64754e-07,0
"chestnut","40_100",0.00176,1.45,0.0989949493661167,2,65,29.3,5.7,1.66666666666667,2.50946666666667e-07,2e-05
"chewacla","0_10",1.33744,1.355,0.190918830920368,2,13.0714285714286,48.3571428571429,38.5714285714286,1.28571428571429,0.000178893108457143,0.00179
"chewacla","10_20",2.535,1.5096443452381,0.210069553241103,NA,12.45,41,46.55,0.5,0.000380781367310269,0.00381
"chewacla","20_40",0.19855,1.48,0.0692820323027551,3,11.45,48.925,39.625,3.5,2.8356911e-05,0.00057
"chewacla","40_100",1.50608,1.53333333333333,0.118462370959446,3,15.65,46.3285714285714,38.0214285714286,0.5,0.000229777605333333,0.01379
"clarksville","0_10",0.548765443786982,1.3509262485482,0.246635757280942,NA,26.5863905325444,63.2307692307692,10.1786982248521,0.93491124260355,7.34410755947996e-05,0.00073
"clarksville","10_20",0.230934117647059,1.5096443452381,0.210069553241103,NA,24.1833333333333,65.2088235294118,10.6098039215686,0.235294117647059,3.47808082746483e-05,0.00035
"clarksville","20_40",0.27876218579235,1.50104635443921,0.215883238671701,NA,24.6770491803279,62.575956284153,12.7448087431694,1.2568306010929,4.13175944081736e-05,0.00083
"clarksville","40_100",0.678613046875,2.04,0.0916515138991169,3,26.1935546875,46.393359375,27.41328125,1.05078125,0.00013698239087655,0.00822
